Tools(version) 	Links
AGAT (v1.0.0)	https://github.com/NBISweden/AGAT
AnchorWave (v1.0.1)	https://github.com/baoxingsong/AnchorWave
Arriba (v2.4.0)	https://github.com/alexdobin/STAR
Bedtools (v2.28.0)	https://bedtools.readthedocs.io/en/latest/index.html
Blast (v2.9.0)	https://blast.ncbi.nlm.nih.gov/Blast.cgi
Bwa (v0.7.18)	https://github.com/lh3/bwa
Bx-python (v0.12.0)	https://github.com/bxlab/bx-python
Csvtk (v0.24.0)	https://bioinf.shenwei.me/csvtk/
Deeptools (v3.4.3)	https://deeptools.readthedocs.io/en/develop/index.html
Fastp (v0.20.1)	https://github.com/OpenGene/fastp
FeatureCounts (v2.0.0)	https://subread.sourceforge.net/featureCounts.html
FMLRC2 (v 0.1.8)	https://github.com/HudsonAlpha/fmlrc2
FusionSimulatorToolkit	https://github.com/FusionSimulatorToolkit/FusionSimulatorToolkit/
Gephi (v0.10.1)	https://github.com/gephi/gephi
Guppy (v3.2.6)	https://nanoporetech.com/software/other/guppy
HELIANO (v1.2.1)	https://github.com/Zhenlisme/heliano
Hifiasm (0.16.1-r375)	https://github.com/chhylp123/hifiasm
Hisat2 (v2.1.0)	http://daehwankimlab.github.io/hisat2/
IGV (v2.16.2)	https://igv.org/
IsoSeq3 (v4.0.0)	https://github.com/ylipacbio/IsoSeq3
JAFFAL (v2.3)	https://github.com/Oshlack/JAFFA/wiki
JBrowse 2 (v3.0.3)	https://jbrowse.org/jb2/
LongGF (v0.1.2)	https://github.com/WGLab/LongGF
Minimap2 (v2.28)	https://github.com/lh3/minimap2
MUMmer4 (v4.0.0beta2)	https://github.com/mummer4/mummer
NanoPack2	https://github.com/wdecoster/nanopack
R circlize (v0.4.10)	https://jokergoo.github.io/circlize/
R ComplexHeatmap(v2.4.3)	https://github.com/jokergoo/ComplexHeatmap
R colorspace (v2.1-1)	https://cran.r-project.org/package=colorspace
R DiffLogo (v2.24.0)	https://github.com/mgledi/DiffLogo
R DESeq2 (v1.40.2)	https://bioconductor.org/packages/release/bioc/vignettes/DESeq2/inst/doc/DESeq2.html
R igraph (v2.1.4)	https://cran.r-project.org/package=igraph
R GenomicFeatures (v1.52.2)	https://www.bioconductor.org/packages//2.7/bioc/html/GenomicFeatures.html
R ggplot2 (v3.3.2)	https://ggplot2.tidyverse.org/
R ggpubr (v0.6.0)	https://rpkgs.datanovia.com/ggpubr/
R ggridges (0.5.6)	https://github.com/wilkelab/ggridges
R ggview (v0.2.1)	https://github.com/idmn/ggview
R magrittr (v1.5)	https://cran.r-project.org/package=magrittr
R pheatmap (v1.0.12)	https://cran.r-project.org/package=pheatmap
R regionR (v1.32.0)	https://github.com/bernatgel/regioneR
R reshape2 (v1.4.4)	https://cran.r-project.org/package=reshape2
R rstatix (v0.7.2)	https://rpkgs.datanovia.com/rstatix/
R tidyverse (1.3.0)	https://www.tidyverse.org/packages/
R UpSetR (v1.4.0)	https://cran.r-project.org/package=UpSetR
RepeatMasker (v4.1.0)	https://github.com/Dfam-consortium/RepeatMasker
RSEM (v1.3.1)	https://github.com/deweylab/RSEM
Salmon (v1.10.0)	https://combine-lab.github.io/salmon/
Samtools (v1.9)	http://www.htslib.org/
Seqkit (v0.12.1)	https://bioinf.shenwei.me/seqkit
SQANTI3 (v5.2.0)	https://github.com/ConesaLab/SQANTI3
STAR (v2.7.0)	https://github.com/alexdobin/STAR
TALON (v6.0.1)	https://github.com/mortazavilab/TALON
Trinity (v2.8.5)	https://github.com/trinityrnaseq/trinityrnaseq
